configuration,size_class,n_runs,mean_pipeline_time_seconds,median_pipeline_time_seconds,stdev_pipeline_time_seconds,mean_build_time_seconds,median_build_time_seconds,stdev_build_time_seconds,mean_initial_scanner_time_seconds,median_initial_scanner_time_seconds,stdev_initial_scanner_time_seconds,mean_post_scanner_time_seconds,median_post_scanner_time_seconds,stdev_post_scanner_time_seconds,mean_total_scanner_time_seconds,median_total_scanner_time_seconds,stdev_total_scanner_time_seconds,mean_remediation_time_seconds,median_remediation_time_seconds,stdev_remediation_time_seconds,mean_policy_time_seconds,median_policy_time_seconds,stdev_policy_time_seconds
C3_PolicyOnly,xlarge,3,9.871764700006073,9.235059299971908,1.1224993530294547,0.22467456666830307,0.2066177999950014,0.0380714297353446,9.443711933330633,8.854330800008029,1.0414438010429878,0.0,0.0,0.0,9.443711933330633,8.854330800008029,1.0414438010429878,0.0,0.0,0.0,0.13114216667599976,0.14631080004619434,0.03528047893177444
C3_PolicyOnly,xxlarge,3,9.724021399995157,9.480618999979924,0.6475859897811485,0.2277620000143846,0.2018594000255689,0.07217552020249857,9.3286934333737,9.117525200068485,0.5594859651811932,0.0,0.0,0.0,9.3286934333737,9.117525200068485,0.5594859651811932,0.0,0.0,0.0,0.10053470003185794,0.10061020002467558,0.010704149713925186
C4_AgentsOnly,large,3,17.454659133315243,16.29246049997164,2.316835370453913,0.22088686667848378,0.22199620003812015,0.0022558933018053504,8.7716126999973,8.083655099966563,1.4688733606561128,8.046720533340704,7.972324699978344,0.7567130587236945,16.818333233338006,15.745297599991318,2.152202945214407,0.31006319999384385,0.22313970001414418,0.15132854976203666,0.0,0.0,0.0
C4_AgentsOnly,medium,3,17.415783066671185,16.879537900036667,1.677744774577866,0.2566177666497727,0.1951184999779798,0.11464616182208784,8.861046200016668,8.125864300003741,1.4372663894781594,7.892849566686588,7.992801200016402,0.5567732318605311,16.753895766703256,16.332962599990424,1.5880344393439656,0.2983276666685318,0.28080120001686737,0.06184471656953949,0.0,0.0,0.0
C4_AgentsOnly,small,3,16.842724066673934,16.986560699995607,0.3876094390542865,0.2407755666451218,0.23218769999220967,0.051294737996590636,8.252336966669342,8.415962500032037,0.6392727466395862,7.886911933349135,7.882387799967546,0.2462766677718283,16.139248900018476,16.298350299999584,0.40150657335316775,0.3451601666553567,0.35925629996927455,0.027891968544628856,0.0,0.0,0.0
C4_AgentsOnly,xlarge,3,18.974216266651638,17.703158600023016,2.464672408860958,0.25018180000673357,0.2405070000095293,0.0421326032381701,9.342072600033134,8.780648300016765,1.1127220679451448,8.997522399954809,8.482913599989843,1.3890474840177165,18.33959499998794,17.104822500084992,2.479555847104974,0.27098423331820715,0.2684350999770686,0.005939508127633209,0.0,0.0,0.0
C4_AgentsOnly,xxlarge,3,18.107459400004398,16.980155600002035,2.108710454769416,0.21295056664772952,0.21528740000212565,0.030382525372584956,8.872582200022103,8.095483400044031,1.3905116562683155,8.650747366657015,8.389617000008002,0.5964418345221266,17.52332956667912,16.485100400052033,1.9841309936836682,0.26223836666516337,0.2133041000342928,0.08584413904456466,0.0,0.0,0.0
C5_SecFlowOps,large,3,18.405473933322355,18.041490399977192,1.828397125861483,0.212967433326412,0.21599320002133027,0.028956458813566555,9.187927366661219,9.165851300000213,0.868596930633731,8.409043566711867,8.17315420001978,0.7904729656476045,17.596970933373086,17.339005500019994,1.6472258632128616,0.34777906667053077,0.253987500036601,0.16522773912011746,0.11190119998839994,0.10581699997419491,0.019099291951290072
C5_SecFlowOps,medium,3,17.316894400011126,15.996059499972034,2.363994505961565,0.21334689999154458,0.18903489998774603,0.042538065993785894,8.426288933337977,8.062899799959268,1.0870362376057756,8.15483499999391,7.577287299965974,1.2295540050343976,16.581123933331885,15.383284699928481,2.2843791784227134,0.2865655666682869,0.2904393000062555,0.06425643355496959,0.10146660000706713,0.09973690001061186,0.006042374185766644
C5_SecFlowOps,small,3,17.283274666697253,17.043323900026735,0.6462568256681489,0.2036528666697753,0.2103221999714151,0.017539385341085765,7.9908959333358025,8.052446700050496,0.28832054524881817,8.568490499979816,8.266922099981457,0.8395128478319288,16.55938643331562,16.319368800031953,0.5549076635471175,0.29319423334284994,0.298839199997019,0.06281517347711052,0.10732380000020687,0.10346429998753592,0.013270666956054155
C5_SecFlowOps,xlarge,3,19.47334760000619,18.252931500028353,2.873865929486374,0.23331529998298114,0.2252267999574542,0.017335794367560848,9.477581400016788,9.641565600060858,0.8310540572212421,9.189947366675673,8.035685299953911,2.1455242940124264,18.66752876669246,17.510214700072538,2.8180001990909855,0.27608163334662095,0.26616150001063943,0.04213679551624593,0.1762697000328141,0.1384711000137031,0.07497287317921658
C5_SecFlowOps,xxlarge,3,18.12878656666726,17.358102899976075,2.154773130763878,0.20895056667116782,0.19762059999629855,0.026643313654697718,9.013405399998495,8.6249140999862,1.183327057754653,8.44177393335849,8.110799900081474,0.8834125442470288,17.455179333356984,16.735714000067674,2.066290440995119,0.23515253335547945,0.22287040000082925,0.025817530956231377,0.1083691333187744,0.10062389995437115,0.019436523937242337
