run_id,campaign_id,configuration,repo,size_class,file_count,loc,repetition,pipeline_success,pipeline_time_seconds,build_time_seconds,initial_trivy_seconds,initial_semgrep_seconds,initial_gitleaks_seconds,post_trivy_seconds,post_semgrep_seconds,post_gitleaks_seconds,initial_scanner_time_seconds,post_scanner_time_seconds,total_scanner_time_seconds,remediation_time_seconds,policy_time_seconds
20260713T133728119601Z_C2_AutoScanning_controlled_api_xxl_r1,expanded_20260713_cached_r3,C2_AutoScanning,controlled_api_xxl,xxlarge,208,1016,1,True,9.23125519999303,0.2923792999936268,1.9021391000133008,6.523922300024424,0.45585520000895485,0.0,0.0,0.0,8.88191660004668,0.0,8.88191660004668,0.0,0.0
20260713T133737774193Z_C3_PolicyOnly_controlled_api_xxl_r1,expanded_20260713_cached_r3,C3_PolicyOnly,controlled_api_xxl,xxlarge,208,1016,1,False,9.480618999979924,0.2018594000255689,1.885162600025069,6.782837800041307,0.44952480000210926,0.0,0.0,0.0,9.117525200068485,0.0,9.117525200068485,0.0,0.10061020002467558
20260713T133747553266Z_C4_AgentsOnly_controlled_api_xxl_r1,expanded_20260713_cached_r3,C4_AgentsOnly,controlled_api_xxl,xxlarge,208,1016,1,True,16.802007400023285,0.21528740000212565,1.506943800020963,6.105327400029637,0.4320568999974057,1.4925840999931097,6.162620799965225,0.5742009000387043,8.044328100048006,8.22940579999704,16.273733900045045,0.2133041000342928,0.0
20260713T133804616237Z_C5_SecFlowOps_controlled_api_xxl_r1,expanded_20260713_cached_r3,C5_SecFlowOps,controlled_api_xxl,xxlarge,208,1016,1,True,16.46532820002176,0.19762059999629855,1.557583899993915,6.065693899989128,0.44988270004978403,1.4795441000023857,5.878467399976216,0.41362999996636063,8.073160500032827,7.771641499944963,15.84480199997779,0.21776900003897026,0.09399929997744039
20260713T133821354815Z_C0_BuildOnly_controlled_api_s_r2,expanded_20260713_cached_r3,C0_BuildOnly,controlled_api_s,small,10,122,2,True,0.2073575999820605,0.20252789999358356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260713T133821621692Z_C1_NonBlockingScanning_controlled_api_s_r2,expanded_20260713_cached_r3,C1_NonBlockingScanning,controlled_api_s,small,10,122,2,True,8.492981599993072,0.1831053999485448,1.3279521000222303,6.46995609998703,0.4639084000373259,0.0,0.0,0.0,8.261816600046586,0.0,8.261816600046586,0.0,0.0
20260713T133830169700Z_C2_AutoScanning_controlled_api_s_r2,expanded_20260713_cached_r3,C2_AutoScanning,controlled_api_s,small,10,122,2,True,9.025242200004868,0.21565750002628192,1.513546000001952,6.635129499947652,0.5990531000425108,0.0,0.0,0.0,8.747728599992115,0.0,8.747728599992115,0.0,0.0
20260713T133839254398Z_C3_PolicyOnly_controlled_api_s_r2,expanded_20260713_cached_r3,C3_PolicyOnly,controlled_api_s,small,10,122,2,False,9.799129899998661,0.1932898999657482,2.302101500041317,6.663989400025457,0.48423590004676953,0.0,0.0,0.0,9.450326800113544,0.0,9.450326800113544,0.0,0.09158309997292235
20260713T133849107760Z_C4_AgentsOnly_controlled_api_s_r2,expanded_20260713_cached_r3,C4_AgentsOnly,controlled_api_s,small,10,122,2,True,16.986560699995607,0.19431679998524487,1.4268651000456885,6.261925200000405,0.7271721999859437,1.4500206999946386,6.002829499950167,0.42953760002274066,8.415962500032037,7.882387799967546,16.298350299999584,0.36319070000899956,0.0
20260713T133906146517Z_C5_SecFlowOps_controlled_api_s_r2,expanded_20260713_cached_r3,C5_SecFlowOps,controlled_api_s,small,10,122,2,True,18.01518600003328,0.21687930001644418,1.4327893000445329,5.7889437999692746,0.455037200008519,1.5071786000044085,7.571883199969307,0.43806890002451837,7.676770300022326,9.517130699998233,17.19390100002056,0.3529963999753818,0.1220964000094682
20260713T133924225381Z_C0_BuildOnly_controlled_api_m_r2,expanded_20260713_cached_r3,C0_BuildOnly,controlled_api_m,medium,28,206,2,True,0.29118040000321344,0.2877636000048369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260713T133924633012Z_C1_NonBlockingScanning_controlled_api_m_r2,expanded_20260713_cached_r3,C1_NonBlockingScanning,controlled_api_m,medium,28,206,2,True,8.488205500005279,0.19737030001124367,1.442983299959451,6.361507699999493,0.4347507999627851,0.0,0.0,0.0,8.239241799921729,0.0,8.239241799921729,0.0,0.0
20260713T133933194659Z_C2_AutoScanning_controlled_api_m_r2,expanded_20260713_cached_r3,C2_AutoScanning,controlled_api_m,medium,28,206,2,True,12.140161299961619,0.17919830000028014,3.0669588000164367,8.258934499986935,0.5754541999776848,0.0,0.0,0.0,11.901347499981057,0.0,11.901347499981057,0.0,0.0
20260713T133945407132Z_C3_PolicyOnly_controlled_api_m_r2,expanded_20260713_cached_r3,C3_PolicyOnly,controlled_api_m,medium,28,206,2,False,11.192358700034674,0.28951560001587495,2.389815800008364,7.625037199992221,0.660212800023146,0.0,0.0,0.0,10.67506580002373,0.0,10.67506580002373,0.0,0.14602719998219982
