run_id,campaign_id,configuration,repo,repetition,pipeline_success,initial_findings_total,initial_findings_reviewed,initial_reviewed_true_positive,initial_reviewed_false_positive,initial_unreviewed_findings,residual_findings_total,residual_findings_reviewed,residual_reviewed_true_positive,residual_reviewed_false_positive,residual_unreviewed_findings,resolved_reviewed_true_positive,reviewed_resolution_rate,initial_adjudicated_precision,residual_adjudicated_precision,residual_reviewed_critical,residual_reviewed_high,residual_reviewed_secret,external_recall_assessable
20260713T163819469309Z_C3_PolicyOnly_external_flask_r3,external_20260713_r3_baselines,C3_PolicyOnly,external_flask,3,True,13,13,13,0,0,13,13,13,0,0,0,0.0,1.0,1.0,0,1,0,false
20260713T163835290710Z_C4_AgentsOnly_external_flask_r3,external_20260713_r3_baselines,C4_AgentsOnly,external_flask,3,True,13,13,13,0,0,0,0,0,0,0,13,1.0,1.0,,0,0,0,false
20260713T163905968956Z_C5_SecFlowOps_external_flask_r3,external_20260713_r3_baselines,C5_SecFlowOps,external_flask,3,True,13,13,13,0,0,0,0,0,0,0,13,1.0,1.0,,0,0,0,false
20260713T163937930422Z_C1_NonBlockingScanning_external_express_r3,external_20260713_r3_baselines,C1_NonBlockingScanning,external_express,3,True,0,0,0,0,0,0,0,0,0,0,0,0.0,,,0,0,0,false
20260713T163954357105Z_C2_AutoScanning_external_express_r3,external_20260713_r3_baselines,C2_AutoScanning,external_express,3,True,0,0,0,0,0,0,0,0,0,0,0,0.0,,,0,0,0,false
20260713T164009946350Z_C3_PolicyOnly_external_express_r3,external_20260713_r3_baselines,C3_PolicyOnly,external_express,3,True,0,0,0,0,0,0,0,0,0,0,0,0.0,,,0,0,0,false
20260713T164025954447Z_C4_AgentsOnly_external_express_r3,external_20260713_r3_baselines,C4_AgentsOnly,external_express,3,True,0,0,0,0,0,0,0,0,0,0,0,0.0,,,0,0,0,false
20260713T164054902577Z_C5_SecFlowOps_external_express_r3,external_20260713_r3_baselines,C5_SecFlowOps,external_express,3,True,0,0,0,0,0,0,0,0,0,0,0,0.0,,,0,0,0,false
20260713T164123583419Z_C1_NonBlockingScanning_external_nodegoat_r3,external_20260713_r3_baselines,C1_NonBlockingScanning,external_nodegoat,3,True,78,78,78,0,0,78,78,78,0,0,0,0.0,1.0,1.0,10,40,1,false
20260713T164138422939Z_C2_AutoScanning_external_nodegoat_r3,external_20260713_r3_baselines,C2_AutoScanning,external_nodegoat,3,True,78,78,78,0,0,78,78,78,0,0,0,0.0,1.0,1.0,10,40,1,false
20260713T164154405622Z_C3_PolicyOnly_external_nodegoat_r3,external_20260713_r3_baselines,C3_PolicyOnly,external_nodegoat,3,False,78,78,78,0,0,78,78,78,0,0,0,0.0,1.0,1.0,10,40,1,false
20260713T164212979176Z_C4_AgentsOnly_external_nodegoat_r3,external_20260713_r3_baselines,C4_AgentsOnly,external_nodegoat,3,True,78,78,78,0,0,77,77,77,0,0,1,0.01282051282051282,1.0,1.0,10,39,0,false
20260713T164245476072Z_C5_SecFlowOps_external_nodegoat_r3,external_20260713_r3_baselines,C5_SecFlowOps,external_nodegoat,3,False,78,78,78,0,0,77,77,77,0,0,1,0.01282051282051282,1.0,1.0,10,39,0,false
20260713T164318386250Z_C1_NonBlockingScanning_external_dvna_r3,external_20260713_r3_baselines,C1_NonBlockingScanning,external_dvna,3,True,2,2,2,0,0,2,2,2,0,0,0,0.0,1.0,1.0,0,1,0,false
20260713T164337331354Z_C2_AutoScanning_external_dvna_r3,external_20260713_r3_baselines,C2_AutoScanning,external_dvna,3,True,2,2,2,0,0,2,2,2,0,0,0,0.0,1.0,1.0,0,1,0,false
20260713T164353723981Z_C3_PolicyOnly_external_dvna_r3,external_20260713_r3_baselines,C3_PolicyOnly,external_dvna,3,True,2,2,2,0,0,2,2,2,0,0,0,0.0,1.0,1.0,0,1,0,false
20260713T164415575683Z_C4_AgentsOnly_external_dvna_r3,external_20260713_r3_baselines,C4_AgentsOnly,external_dvna,3,True,2,2,2,0,0,0,0,0,0,0,2,1.0,1.0,,0,0,0,false
20260713T164445903285Z_C5_SecFlowOps_external_dvna_r3,external_20260713_r3_baselines,C5_SecFlowOps,external_dvna,3,True,2,2,2,0,0,0,0,0,0,0,2,1.0,1.0,,0,0,0,false
