run_id,campaign_id,configuration,repo,scenario,repetition,stage,finding_id,fingerprint,tool,category,severity,cvss,file,cwe,cve,ground_truth_id,is_ground_truth,is_false_positive,remediated,remediation_method
20260714T000524717055Z_C1_NonBlockingScanning_full_alpha_sast_reflected_xss_r1,zap_enabled_probe_20260714_dynamic,C1_NonBlockingScanning,full_alpha_sast_reflected_xss,sast_reflected_xss,1,initial,20260714T000524717055Z_C1_NonBlockingScanning_full_alpha_sast_reflected_xss_r1:semgrep:SecFlowOps.scanners.semgrep.secflowops.reflected-html:C:\Users\User\Downloads\Compressed\DevSecOps8Abdoul\SecFlowOps\data\raw\20260714T000524717055Z_C1_NonBlockingScanning_full_alpha_sast_reflected_xss_r1\workspace\app.py:8,df13b0fdde1164d73d21c7d9,semgrep,sast,medium,5.5,C:\Users\User\Downloads\Compressed\DevSecOps8Abdoul\SecFlowOps\data\raw\20260714T000524717055Z_C1_NonBlockingScanning_full_alpha_sast_reflected_xss_r1\workspace\app.py,CWE-79,,GT-SAST-XSS-001-full_alpha_sast_reflected_xss,True,False,False,none
20260714T000524717055Z_C1_NonBlockingScanning_full_alpha_sast_reflected_xss_r1,zap_enabled_probe_20260714_dynamic,C1_NonBlockingScanning,full_alpha_sast_reflected_xss,sast_reflected_xss,1,initial,20260714T000524717055Z_C1_NonBlockingScanning_full_alpha_sast_reflected_xss_r1:zap:40012:http://127.0.0.1:12803/search?q=%3CscrIpt%3Ealert%281%29%3B%3C%2FscRipt%3E:q,8023fed4b448668ca782bf9c,zap,dast,info,0.0,http://127.0.0.1:12803/search?q=%3CscrIpt%3Ealert%281%29%3B%3C%2FscRipt%3E,79,,,False,,False,none
20260714T000524717055Z_C1_NonBlockingScanning_full_alpha_sast_reflected_xss_r1,zap_enabled_probe_20260714_dynamic,C1_NonBlockingScanning,full_alpha_sast_reflected_xss,sast_reflected_xss,1,initial,20260714T000524717055Z_C1_NonBlockingScanning_full_alpha_sast_reflected_xss_r1:zap:10038:http://127.0.0.1:12803/search?q=secflowops:,9898ac03af1d28884aa45fa5,zap,dast,info,0.0,http://127.0.0.1:12803/search?q=secflowops,693,,,False,,False,none
20260714T000524717055Z_C1_NonBlockingScanning_full_alpha_sast_reflected_xss_r1,zap_enabled_probe_20260714_dynamic,C1_NonBlockingScanning,full_alpha_sast_reflected_xss,sast_reflected_xss,1,initial,20260714T000524717055Z_C1_NonBlockingScanning_full_alpha_sast_reflected_xss_r1:zap:10020:http://127.0.0.1:12803/search?q=secflowops:x-frame-options,9c56cc4bc8019919eba157e9,zap,dast,info,0.0,http://127.0.0.1:12803/search?q=secflowops,1021,,,False,,False,none
20260714T000524717055Z_C1_NonBlockingScanning_full_alpha_sast_reflected_xss_r1,zap_enabled_probe_20260714_dynamic,C1_NonBlockingScanning,full_alpha_sast_reflected_xss,sast_reflected_xss,1,initial,20260714T000524717055Z_C1_NonBlockingScanning_full_alpha_sast_reflected_xss_r1:zap:10036:http://127.0.0.1:12803/robots.txt:,395b245db6865072ddfa9939,zap,dast,info,0.0,http://127.0.0.1:12803/robots.txt,497,,,False,,False,none
20260714T000524717055Z_C1_NonBlockingScanning_full_alpha_sast_reflected_xss_r1,zap_enabled_probe_20260714_dynamic,C1_NonBlockingScanning,full_alpha_sast_reflected_xss,sast_reflected_xss,1,initial,20260714T000524717055Z_C1_NonBlockingScanning_full_alpha_sast_reflected_xss_r1:zap:10036:http://127.0.0.1:12803/search?q=secflowops:,6f01d3c1bb6512d0107d4a0e,zap,dast,info,0.0,http://127.0.0.1:12803/search?q=secflowops,497,,,False,,False,none
20260714T000524717055Z_C1_NonBlockingScanning_full_alpha_sast_reflected_xss_r1,zap_enabled_probe_20260714_dynamic,C1_NonBlockingScanning,full_alpha_sast_reflected_xss,sast_reflected_xss,1,initial,20260714T000524717055Z_C1_NonBlockingScanning_full_alpha_sast_reflected_xss_r1:zap:10036:http://127.0.0.1:12803/sitemap.xml:,4c635ddd554a520bfaf3eb81,zap,dast,info,0.0,http://127.0.0.1:12803/sitemap.xml,497,,,False,,False,none
20260714T000524717055Z_C1_NonBlockingScanning_full_alpha_sast_reflected_xss_r1,zap_enabled_probe_20260714_dynamic,C1_NonBlockingScanning,full_alpha_sast_reflected_xss,sast_reflected_xss,1,initial,20260714T000524717055Z_C1_NonBlockingScanning_full_alpha_sast_reflected_xss_r1:zap:10021:http://127.0.0.1:12803/search?q=secflowops:x-content-type-options,430fae864a2b5378923b9a59,zap,dast,info,0.0,http://127.0.0.1:12803/search?q=secflowops,693,,,False,,False,none
20260714T000524717055Z_C1_NonBlockingScanning_full_alpha_sast_reflected_xss_r1,zap_enabled_probe_20260714_dynamic,C1_NonBlockingScanning,full_alpha_sast_reflected_xss,sast_reflected_xss,1,residual,20260714T000524717055Z_C1_NonBlockingScanning_full_alpha_sast_reflected_xss_r1:trivy:misconfig:DS-0026:Dockerfile:None,4a313b570c6e3b18baf982ee,trivy,iac,low,2.5,Dockerfile,,,,False,,False,none
20260714T000524717055Z_C1_NonBlockingScanning_full_alpha_sast_reflected_xss_r1,zap_enabled_probe_20260714_dynamic,C1_NonBlockingScanning,full_alpha_sast_reflected_xss,sast_reflected_xss,1,residual,20260714T000524717055Z_C1_NonBlockingScanning_full_alpha_sast_reflected_xss_r1:trivy:misconfig:KSV-0001:k8s/deployment.yaml:16,0ebc2ff14f12a67d561767b2,trivy,iac,medium,5.5,k8s/deployment.yaml,,,,False,,False,none
