run_id,campaign_id,configuration,repo,size_class,origin_type,stack,file_count,loc,repetition,pipeline_success,pipeline_time_seconds,build_time_seconds,initial_trivy_seconds,initial_semgrep_seconds,initial_gitleaks_seconds,post_trivy_seconds,post_semgrep_seconds,post_gitleaks_seconds,initial_scanner_time_seconds,post_scanner_time_seconds,total_scanner_time_seconds,remediation_time_seconds,policy_time_seconds
20260713T162259292118Z_C1_NonBlockingScanning_external_express_r1,external_20260713_r3_baselines,C1_NonBlockingScanning,external_express,unknown,external_oss_framework,javascript;npm,213,26700,1,True,14.114143099985085,0.04791949997888878,1.6529277000227012,11.592344499949832,0.7696993000572547,0.0,0.0,0.0,14.014971500029787,0.0,14.014971500029787,0.0,0.0
20260713T162313746410Z_C2_AutoScanning_external_express_r1,external_20260713_r3_baselines,C2_AutoScanning,external_express,unknown,external_oss_framework,javascript;npm,213,26700,1,True,12.928245400020387,0.05922399996779859,1.586451900016982,10.60644920001505,0.6205291000078432,0.0,0.0,0.0,12.813430200039875,0.0,12.813430200039875,0.0,0.0
20260713T162327001680Z_C3_PolicyOnly_external_express_r1,external_20260713_r3_baselines,C3_PolicyOnly,external_express,unknown,external_oss_framework,javascript;npm,213,26700,1,True,13.849443199986126,0.06518309999955818,1.761912600020878,11.076687900000252,0.7749558999785222,0.0,0.0,0.0,13.613556399999652,0.0,13.613556399999652,0.0,0.10158529999898747
20260713T162341242272Z_C4_AgentsOnly_external_express_r1,external_20260713_r3_baselines,C4_AgentsOnly,external_express,unknown,external_oss_framework,javascript;npm,213,26700,1,True,27.689408399979584,0.07062180002685636,1.9598175999708474,12.341251100006048,0.6094568999833427,1.4076024999958463,10.691389399988111,0.49748710001586005,14.910525599960238,12.596478999999817,27.507004599960055,0.0014566000318154693,0.0
20260713T162409408863Z_C5_SecFlowOps_external_express_r1,external_20260713_r3_baselines,C5_SecFlowOps,external_express,unknown,external_oss_framework,javascript;npm,213,26700,1,True,26.64232650003396,0.0834315000101924,1.6646992999594659,11.534876700025052,0.6839798000291921,1.4755406000185758,10.393643599993084,0.5765231999685057,13.88355580001371,12.445707399980165,26.329263199993875,0.0014659999869763851,0.12799140001880005
20260713T162436370419Z_C1_NonBlockingScanning_external_nodegoat_r1,external_20260713_r3_baselines,C1_NonBlockingScanning,external_nodegoat,unknown,external_security_benchmark,javascript;npm;docker,111,42046,1,True,14.807846799958497,0.04732510005123913,2.502719599986449,11.429079799971078,0.7631705999956466,0.0,0.0,0.0,14.694969999953173,0.0,14.694969999953173,0.0,0.0
20260713T162451422417Z_C2_AutoScanning_external_nodegoat_r1,external_20260713_r3_baselines,C2_AutoScanning,external_nodegoat,unknown,external_security_benchmark,javascript;npm;docker,111,42046,1,True,14.402795999951195,0.05291440000291914,1.9429705000366084,11.504445200029295,0.8348212000564672,0.0,0.0,0.0,14.28223690012237,0.0,14.28223690012237,0.0,0.0
20260713T162506014614Z_C3_PolicyOnly_external_nodegoat_r1,external_20260713_r3_baselines,C3_PolicyOnly,external_nodegoat,unknown,external_security_benchmark,javascript;npm;docker,111,42046,1,False,14.158708399976604,0.06599450000794604,1.8660231999820098,11.23822239995934,0.7979511999874376,0.0,0.0,0.0,13.902196799928788,0.0,13.902196799928788,0.0,0.1116768000065349
20260713T162520436951Z_C4_AgentsOnly_external_nodegoat_r1,external_20260713_r3_baselines,C4_AgentsOnly,external_nodegoat,unknown,external_security_benchmark,javascript;npm;docker,111,42046,1,True,26.331440799986012,0.0475565999513492,2.17368309997255,10.765059600002132,0.6778098000213504,1.5117199000087567,10.503646299999673,0.5185593999922276,13.616552499996033,12.533925600000657,26.15047809999669,0.014520599972456694,0.0
20260713T162546967795Z_C5_SecFlowOps_external_nodegoat_r1,external_20260713_r3_baselines,C5_SecFlowOps,external_nodegoat,unknown,external_security_benchmark,javascript;npm;docker,111,42046,1,False,26.893759800004773,0.05600489996140823,1.807180400006473,10.78662109997822,0.7649499999824911,1.5179215999669395,11.172769800003152,0.5327424999559298,13.358751499967184,13.223433899926022,26.582185399893206,0.014117199985776097,0.11456509999698028
20260713T162614046352Z_C1_NonBlockingScanning_external_dvna_r1,external_20260713_r3_baselines,C1_NonBlockingScanning,external_dvna,unknown,external_security_benchmark,javascript;npm;docker,151,12278,1,True,13.676945000013802,0.1184548000455834,2.1687992000370286,10.795972499996424,0.5259526000008918,0.0,0.0,0.0,13.490724300034344,0.0,13.490724300034344,0.0,0.0
20260713T162628011989Z_C2_AutoScanning_external_dvna_r1,external_20260713_r3_baselines,C2_AutoScanning,external_dvna,unknown,external_security_benchmark,javascript;npm;docker,151,12278,1,True,12.926528099982534,0.04775060003157705,1.7298073000274599,10.44882679998409,0.6460529000032693,0.0,0.0,0.0,12.82468700001482,0.0,12.82468700001482,0.0,0.0
20260713T162641169819Z_C3_PolicyOnly_external_dvna_r1,external_20260713_r3_baselines,C3_PolicyOnly,external_dvna,unknown,external_security_benchmark,javascript;npm;docker,151,12278,1,True,13.591451500018593,0.07035369996447116,2.2472837999812327,10.537843500031158,0.5885085000190884,0.0,0.0,0.0,13.37363580003148,0.0,13.37363580003148,0.0,0.08946909999940544
20260713T162655088487Z_C4_AgentsOnly_external_dvna_r1,external_20260713_r3_baselines,C4_AgentsOnly,external_dvna,unknown,external_security_benchmark,javascript;npm;docker,151,12278,1,True,25.613379399990663,0.044550999999046326,1.8761210000375286,10.786653899995144,0.49799399997573346,1.3735344999586232,10.371846000023652,0.5448903000215068,13.160768900008406,12.290270800003782,25.45103970001219,0.013698000053409487,0.0
20260713T162720978530Z_C5_SecFlowOps_external_dvna_r1,external_20260713_r3_baselines,C5_SecFlowOps,external_dvna,unknown,external_security_benchmark,javascript;npm;docker,151,12278,1,True,26.03956369997468,0.04464640002697706,1.962946199986618,10.506438599957619,0.593543499999214,1.775852599996142,10.437060500029474,0.5103318999754265,13.06292829994345,12.723245000001043,25.786173299944494,0.01683709997450933,0.08061449998058379
20260713T162747245557Z_C1_NonBlockingScanning_external_requests_r2,external_20260713_r3_baselines,C1_NonBlockingScanning,external_requests,unknown,external_oss_library,python;pip,130,19464,2,True,12.967635300010443,0.04413439997006208,1.829321399971377,10.551589000038803,0.4846747000119649,0.0,0.0,0.0,12.865585100022145,0.0,12.865585100022145,0.0,0.0
